3.640816327,5.3
12.452040816,5.4
21.102970522,6.1
29.867528345,6.2
38.547823129,6.3
47.259070295,6.4
55.921609977,7.1
64.728299320,14.1
73.503129252,7.3
77.858367347,7.4
82.196485261,8.1
86.534421769,8.2
90.862448980,8.3
99.546984127,8.4
108.428639456,9.1
117.107755102,14.2
125.877437642,9.3
134.555555556,9.4
143.225034014,10.1
147.589863946,10.2
151.953945578,10.3
156.442358277,10.4
160.821088435,11.1
169.492630385,11.2
178.132312925,11.3
186.791564626,11.4
195.551451247,12.1
200.026122449,12.3
204.475102041,12.4
208.839886621,13.1
213.165419501,13.2
217.536689342,13.3
221.827052154,13.4
